Name,Link,Award,Deadline
Kirkland B. Greer Memorial Scholarship in Arts and Sciences,/opportunities/22789,$1500,03/15/2024
Kline-Taniguchi Scholarship,/opportunities/23199,$1000-$2000,03/15/2024
Knox Fowler Scholarship,/opportunities/22596,$1000.00,03/15/2024
Komisar/Porter Pacer Endowed Scholarship,/opportunities/22509,$15000,03/15/2024
Korczak Boulder County Latino Community Scholarship in Arts and Sciences,/opportunities/22814,$3000-$5000,03/15/2024
KPMG Partners and Professionals Accounting Scholarship,/opportunities/23423,$1500-$2500,03/15/2024
Kristin Elizabeth Lyell Scholarship,/opportunities/21380,Varies,03/15/2024
Kyle Metcalf and Caitlin Epple Memorial Scholarship,/opportunities/22908,$500,03/15/2024
Landuyt Family Endowed Student Support Fund,/opportunities/23447,$1500,03/15/2024
Latinx Alumni Association Scholarship,/opportunities/22457,$1500,03/15/2024
Laura Pollock Schlp in MCDB,/opportunities/23449,Varies,03/15/2024
Laverne Noyes Scholarship,/opportunities/22890,Varies,03/15/2024
Leach Family Scholarship,/opportunities/23771,$3000.00,03/15/2024
Leach Family Scholarship,/opportunities/23064,$0.00,03/15/2024
Lehman Communications Corporation Scholarship--CMCI,/opportunities/22549,$7000.00,03/15/2024
Leo A. Gallagher Scholarship,/opportunities/22539,$3000,03/15/2024
Leon and Mitzi Shands Endowed Scholarship in Physics,/opportunities/22787,$1000-$3000,03/15/2024
Leona Stanford Vollintine Scholarship,/opportunities/22602,$2500.00,03/15/2024
Leonard and Anna Fair Scholarship for Modern Languages in Arts and Sciences,/opportunities/22807,upto$1000,03/15/2024
Leonard M. Baca Endowed Scholarship Fund,/opportunities/23389,Varies,03/15/2024
"Lesbian, Gay, Bisexual, Transgender, Queer Alumni Association Scholarship",/opportunities/22707,$2000,03/15/2024
Lester C. Thomas Schlp-CMCI,/opportunities/22696,$3000.00,03/15/2024
Leticia R. and Michael J. Tomczak Memorial Scholarship,/opportunities/22662,$1000,03/15/2024
Levy Family Scholarship,/opportunities/22496,Varies,03/15/2024
Lewis Family Scholarship,/opportunities/23417,$5000,03/15/2024
Lichtenwalter Family Scholarship,/opportunities/22650,Varies,03/15/2024
Lillian Gutierrez Scholarship,/opportunities/23250,$1500.00,03/15/2024
Lilly Family Scholarship,/opportunities/23285,$2000.00,03/15/2024
Linda Browning Memorial Scholarship,/opportunities/22941,$1000.00,03/15/2024
Linda Embree Scholarship,/opportunities/23088,$1000,03/15/2024
Lloyd and Lura Long Scholarship,/opportunities/22429,$3500,03/15/2024
Logan Cruz Byron Endowed Fund for Student Excellence,/opportunities/24804,Approx.$2000,03/15/2024
Longley Wahlstrom Warner Fellowship,/opportunities/24190,$0.00,03/15/2024
Lorraine Nelson Herrick Scholarship in Arts and Sciences,/opportunities/23303,$2000-$3000,03/15/2024
Lorrie Shepard Scholarship,/opportunities/23251,$2000.00,03/15/2024
Los Seis Memorial Scholarship Fund,/opportunities/21050,Varies,03/15/2024
Lou Ann Bergen Endowed Scholarship Fund,/opportunities/22828,$1000.00,03/15/2024
Louis F and Jean H Bein Scholarship,/opportunities/22610,$700.00,03/15/2024
Louise L Noble Scholarship,/opportunities/22612,Varies,03/15/2024
Lucile Berkeley Buchanan Endowed Arts and Sciences Fellows' Fund,/opportunities/22897,$1000-$2000,03/15/2024
Lucile Berkeley Buchanan Scholarship in Women and Gender Studies,/opportunities/22256,$1500-$2000,03/15/2024
Luke Dunivant Scholarship,/opportunities/22628,$1000.00,03/15/2024
Lutz Endowed Scholarship,/opportunities/22425,$1500,03/15/2024
Mabee Memorial Scholarship--CMCI,/opportunities/22727,$7750.00,03/15/2024
Malcom Erickson Scholarship,/opportunities/23078,Varies,03/15/2024
Mandel Family Scholarship,/opportunities/22975,$15000,03/15/2024
Marc and Doris Kolber Scholarship in Geological Sciences,/opportunities/23356,$0.00,03/15/2024
Marcella G. Hertzog Scholarship--CMCI,/opportunities/23017,$3000.00,03/15/2024
Marci Glazer Crosby Memorial Scholarship,/opportunities/23121,$800.00,03/15/2024
Marco J. DeMarco Endowed Scholarship Fund,/opportunities/24195,$0.00,03/15/2024
Margaret Cloonan Scholarship,/opportunities/22904,$2000,03/15/2024
Marianne G. Wons Scholarship,/opportunities/23408,$10000,03/15/2024
Marie Lou Campbell Endowed Scholarship Fund,/opportunities/23413,$1000.00,03/15/2024
Marjorie Skiff Rose Scholarship in Arts & Sciences,/opportunities/22860,$7000,03/15/2024
Mark Family Scholarship,/opportunities/22581,$5000,03/15/2024
Martha Reilly Smith Education Scholarship,/opportunities/23058,5000,03/15/2024
Martin Endowed Scholarship,/opportunities/23293,$4000,03/15/2024
Martin Luther King Jr. Housing Prize Scholarship,/opportunities/23358,$1400.00,03/15/2024
Martin Luther King Scholarship,/opportunities/23309,$2225.00,03/15/2024
Mary & Larry's CU Dream Scholarship,/opportunities/22428,$2000,03/15/2024
Mary Kay Brown Scholarship,/opportunities/22852,$9000.00,03/15/2024
Mary Rippon Endowed Scholarship for Single Parents,/opportunities/22736,Approx.$1000,03/15/2024
Massimino Family Scholarship,/opportunities/22648,$5000,03/15/2024
Maxine A and FM Gray Scholarship,/opportunities/22434,Varies,03/15/2024
Mayme Sheridan Preston Scholarship,/opportunities/23270,$4000.00,03/15/2024
McKee Family Scholarship,/opportunities/23169,$2500,03/15/2024
McMunn Business Scholarship,/opportunities/23082,$1500-$2500,03/15/2024
Merit Scholarship Fund,/opportunities/22878,Varies,03/15/2024
Merle Colglazier Scholarship,/opportunities/6185,$1500,03/15/2024
Merle Lefferdink Scholarship,/opportunities/22611,$4000.00,03/15/2024
Method Roasters Scholarship,/opportunities/23105,$825,03/15/2024
Meyers Family Foundation Scholarship in Arts and Sciences,/opportunities/22765,$3000,03/15/2024
Michael and Andrea Leeds Scholarship,/opportunities/23092,$2000,03/15/2024
Michael Andrew Hoza Scholarship,/opportunities/22565,$1500.00,03/15/2024
Michael Eric Charness Scholarship,/opportunities/23252,$750.00,03/15/2024
Michael Gendron Scholarship,/opportunities/22905,$2500.00,03/15/2024
Michael Shaner Memorial Scholarship,/opportunities/23155,$1000,03/15/2024
Michael T. Glassco Scholarship,/opportunities/22751,$1500.00,03/15/2024
Mikulka Family Scholarship,/opportunities/22899,$1000,03/15/2024
Mildred Meyer Buck Endowed Scholarship in Arts and Sciences,/opportunities/22901,variesdependingontuitiontier,03/15/2024
Minnie M. Cunningham Scholarship in Arts and Sciences,/opportunities/22783,$2000,03/15/2024
Moehrke Educational Advancement Fund,/opportunities/22236,Varies,03/15/2024
Mogadam Education Scholarship,/opportunities/23090,$1500,03/15/2024
Moody Funston Endowed Science Scholarship,/opportunities/23183,$1000,03/15/2024
Morris Family Scholarship,/opportunities/23283,$2000,03/15/2024
Nancy Guild PhD Endowed Scholarship in MCDB,/opportunities/22456,$5000,03/15/2024
Nate Duran Memorial Scholarship,/opportunities/22746,$2000.00,03/15/2024
Native and Indigenous Student Scholarship,/opportunities/22837,$5000resident;$15000non-resident,03/15/2024
Nelson E. Tamplin Scholarship Fund,/opportunities/23152,$1500-$2500,03/15/2024
Nelson Scholarship Fund,/opportunities/22744,$1500,03/15/2024
New Student & Family Programs Scholarship for Continuing Students,/opportunities/23101,$2500.00,03/15/2024
New Teacher Scholarship,/opportunities/22948,$2000.00,03/15/2024
Newberg Endowed Scholarship,/opportunities/23395,$1000,03/15/2024
Nita McCoy Ogle and D.V. Ogle Memorial Scholarship,/opportunities/23029,$1000.00,03/15/2024
Nonie Lann Scholarship--CMCI,/opportunities/23168,$9000.00,03/15/2024
Nontraditional Student Incentive Fund,/opportunities/22687,$1000.00,03/15/2024
Norris L. Weese Scholarship Fund,/opportunities/23128,$1000,03/15/2024
North American Journalist Scholarship--CMCI,/opportunities/23180,$400.00,03/15/2024
Nyle E. Barlow Scholarship Fund,/opportunities/22593,$4000.00,03/15/2024
Olive Madigan Scholarship in Arts and Sciences,/opportunities/23233,$1000-$3000,03/15/2024
"Oscar R. Sanchez, AIAS Scholarship",/opportunities/23675,$3000.00,03/15/2024
Otis and  Elsie Purchase Teets Family Scholarship in Arts and Sciences,/opportunities/22592,$1000,03/15/2024
Outstanding Colorado Students Award,/opportunities/22582,$1000,03/15/2024
Pacey and Neinas Scholarship,/opportunities/22985,$1000,03/15/2024
Parallel Path Scholarship,/opportunities/25065,$2500,03/15/2024
Passport Program Scholarship,/opportunities/22697,$1500.00,03/15/2024
Patricia Elliott Endowed Scholarship Fund for Theatre,/opportunities/23272,Varies,03/15/2024
Patrick and Julia Mulligan Endowed Scholarship in the Miramontes Arts and Sciences Program (MASP),/opportunities/24316,$1000,03/15/2024
Patrick Vassar Real Estate Endowed Scholarship,/opportunities/23409,$1000,03/15/2024
Patty and Rayno Seaser Family Endowed CMCI Scholarship,/opportunities/22870,$1000.00,03/15/2024
Patty Feist Scholarship,/opportunities/22735,$2500.00,03/15/2024
Paul Voakes Endowed Scholarship,/opportunities/23127,$1000.00,03/15/2024
Peaks Strategies Communications Scholarship,/opportunities/23201,$2000.00,03/15/2024
Pearl McPherson Spencer Scholarship,/opportunities/23388,$1000.00,03/15/2024
PEARSON SCHOLARSHIP IN HISTORY,/opportunities/22527,$2500.00,03/15/2024
Peter G and Helen P Koclanes Scholarship,/opportunities/23203,$2350.00,03/15/2024
Peter L. Lasser and Daniel C. Niemeyer Endowed Scholarship Fund,/opportunities/23050,$1000.00,03/15/2024
Peter Wayne Reicks Memorial Scholarship Fund,/opportunities/23399,$5000,03/15/2024
Phi Delta Theta Scholarship,/opportunities/22661,$3500,03/15/2024
Phil Jacobsen/KPMG Scholarship,/opportunities/23386,$1500-$2500,03/15/2024
Philip George Worcester Endowed Scholarship in Geological Sciences,/opportunities/23307,$0.00,03/15/2024
Philip John Coffey Scholarship--CMCI,/opportunities/22747,$3600.00,03/15/2024
Phillips Endowed Scholarship,/opportunities/22739,$1000,03/15/2024
Pierce Endowed Scholarship-CMCI,/opportunities/22577,$2200.00,03/15/2024
Polly and Mark Addison Endowed Scholarship Fund,/opportunities/22572,Variesupto$10000perAY,03/15/2024
Professor Janette Kettmann Klingner Doctoral Fellowship,/opportunities/23305,$7500.00,03/15/2024
Psychology and Neuroscience Leadership Award,/opportunities/22438,Varies,03/15/2024
Puksta Scholars Program,/opportunities/22116,$5000.00,03/15/2024
Quarton Scholarship Fund,/opportunities/23328,$3000.00,03/15/2024
Quinn Scholarship,/opportunities/24989,$1000,03/15/2024
R. Shapiro Family Foundation Scholarship Endowment in Humanities,/opportunities/23225,$1000,03/15/2024
Rabbi Daniel and Ida Goldberger Graduate Fellowship in Jewish Studies,/opportunities/23866,$1500,03/15/2024
Ralph Allen Memorial Scholarship--CMCI,/opportunities/22719,$1100.00,03/15/2024
Ray Endowed Scholarship,/opportunities/23254,$1500,03/15/2024
Real Estate Services Scholarship,/opportunities/22991,$2500,03/15/2024
Regent Scholarship,/opportunities/22469,$1000.00,03/15/2024
Reilly News-Editiorial Scholarship--CMCI,/opportunities/23197,$3500.00,03/15/2024
Renwick Family Endowed Scholarship Fund,/opportunities/22994,$4000.00,03/15/2024
Richard A. and Sandra B. McCray Endowed Scholarship Fund in Arts & Sciences,/opportunities/23445,Varies,03/15/2024
Rick Athearn Scholarship Endowment in Arts and Sciences,/opportunities/22862,$7500,03/15/2024
"Robert Foss, Jr. Scholarship",/opportunities/22951,$5000,03/15/2024
Robert J. Wyant Scholarship in Arts and Sciences,/opportunities/22416,$1000-$2000,03/15/2024
Robert Meier Scholarship Fund,/opportunities/22781,$1000,03/15/2024
Robert Wasley Scholarship,/opportunities/22499,$3000,03/15/2024
Robert Wilkerson Scholarship,/opportunities/22293,$500,03/15/2024
Robinowitz Family Scholarship,/opportunities/22842,$1800,03/15/2024
Roger Lindwall Scholarship,/opportunities/23118,Varies,03/15/2024
Ron and Judy Moore Scholarship,/opportunities/22778,$18000,03/15/2024
Rosellen E. Siegel Scholarship Fund,/opportunities/23321,$1500.00,03/15/2024
Roser Fellowship,/opportunities/22711,$2500.00,03/15/2024
Rothberg Family Community College Opportunity Scholarship,/opportunities/23095,10000,03/15/2024
RSM Scholarship,/opportunities/23397,$1250,03/15/2024
Rubin Rabinovitz Memorial Scholarship in Arts and Sciences,/opportunities/22927,$1000,03/15/2024
Rudolph and Helen Gagg Scholarship,/opportunities/22964,$2000.00,03/15/2024
Ruthann H. LeBaron Fund in Environmental Studies,/opportunities/23076,Varies,03/15/2024
Ryan Family Endowed Scholarship,/opportunities/22835,$0.00,03/15/2024
Ryan J. Smith Scholarship,/opportunities/22467,upto$3000,03/15/2024
S. Antoinette Bigelow Scholarship in Arts and Sciences,/opportunities/21614,$1000-$2000,03/15/2024
Saitowitz Family Scholarship,/opportunities/22757,$2000,03/15/2024
Salim Family Scholarship,/opportunities/22893,$5150,03/15/2024
Samuel C DeFord Scholarship,/opportunities/24417,$7500.00,03/15/2024
Sapp Family Foundation Scholarship,/opportunities/22717,$4000.00,03/15/2024
SARA FISCHER ENDOWED SCHOLARSHIP FUND,/opportunities/22635,$1000.00,03/15/2024
Scholarship for Opportunities,/opportunities/23086,$1000.00,03/15/2024
School of Education Special Tutorial Scholarship,/opportunities/22583,$1000.00,03/15/2024
Scott & Sarah Burg Scholarship,/opportunities/23027,$1000-$2000,03/15/2024
Seller Endowed Scholarship,/opportunities/23437,$1000,03/15/2024
Seniors Creating Future Buffs Scholarship,/opportunities/22415,1600,03/15/2024
Shannon Scholarship Fund,/opportunities/22645,$7500,03/15/2024
Shelby Anne Wolf Endowed Scholarship Fund,/opportunities/22640,$1000,03/15/2024
Shoe-Smith Scholarship,/opportunities/22933,$4000.00,03/15/2024
Shultz-Spangler Memorial Scholarship in Arts and Sciences,/opportunities/22925,$2000,03/15/2024
Sikola Memorial Scholarship,/opportunities/23220,$1000,03/15/2024
Silver Buffs Marching Band Alumni Scholarship,/opportunities/18684,$1500.00,03/15/2024
Silver Family Scholarship,/opportunities/22752,$5000,03/15/2024
Singleton Scholarship in Arts and Sciences,/opportunities/22553,$1000-$3000,03/15/2024
Smith Family Scholarship,/opportunities/23037,Varies,03/15/2024
Smith Family Scholarship in Arts and Sciences,/opportunities/22532,$1500,03/15/2024
Social Sciences Departments- Social Justice Scholarship,/opportunities/22265,$5000.00,03/15/2024
St. Clare Scholarship,/opportunities/22410,Varies,03/15/2024
Stanton Foundation Scholarship,/opportunities/23453,$2500,03/15/2024
Stephen H. Evans Scholarship in Geological Sciences,/opportunities/23277,$0.00,03/15/2024
Steve Ollanik Endowed Scholarship for Teachers,/opportunities/22544,$2500.00,03/15/2024
Steven M Moses Memorial Scholarship,/opportunities/22939,$1000.00,03/15/2024
Stewart Family Foundation Scholarship,/opportunities/23170,$0.00,03/15/2024
Stilwell Family Endowed Scholarship,/opportunities/22866,$1000.00,03/15/2024
Stockert Ives Scholarship,/opportunities/23424,Varies,03/15/2024
Stockman Family Scholarship Fund,/opportunities/23436,$0.00,03/15/2024
Stribic-Martin Scholarship in Arts and Sciences,/opportunities/22601,upto$10000,03/15/2024
Stuckman Family Scholarship,/opportunities/22963,$5000,03/15/2024
Student Investment Fund,/opportunities/22435,Varies,03/15/2024
Student Relief Fund Scholarship,/opportunities/22699,$2000.00,03/15/2024
Student Teaching Scholarship,/opportunities/22838,$2000.00,03/15/2024
Sullins Family Business Scholarship,/opportunities/22507,$3000-$5000,03/15/2024
Susan Morley Scholarship,/opportunities/22797,$1000,03/15/2024
Suzanne Wegener Soled Endowed Scholarship,/opportunities/22550,$1000,03/15/2024
T. Keith Marks Scholarship in Geological Sciences,/opportunities/23374,$0.00,03/15/2024
Talent & Creativity Scholarship in Dance,/opportunities/23368,Varies,03/15/2024
Talent & Creativity Scholarship in Theatre,/opportunities/23080,Varies,03/15/2024
Tandean Rustandy Scholarship (In State Scholars),/opportunities/22883,Varies,03/15/2024
Tandean Rustandy Scholarship (Out of State Scholar),/opportunities/22889,$6000,03/15/2024
Tarlas Family Scholarship,/opportunities/22931,$0.00,03/15/2024
Ted Shreve Memorial Scholarship,/opportunities/22641,$2000-$5000,03/15/2024
Teresa Fonseca Memorial Fund in Chemistry,/opportunities/23034,Minimum$1500,03/15/2024
Theatre Graduate Student Scholarship,/opportunities/22756,Varies,03/15/2024
Thomas F. Marsico Scholarship in MCDB,/opportunities/22722,$1000-$2000,03/15/2024
"Thomas Pazik, MD Scholarship",/opportunities/23032,$1200.00,03/15/2024
Thuet Scholarship Fund,/opportunities/22846,Varies,03/15/2024
Timothy Grice Memorial Scholarship,/opportunities/22292,Upto$1000,03/15/2024
Timothy William Stanton Endowed Scholarship in Geological Sciences,/opportunities/24192,$0.00,03/15/2024
Tisone Scholarship,/opportunities/23048,$1000,03/15/2024
Trembly-Evans Trust Family Scholarship,/opportunities/22946,$2000,03/15/2024
Trep Cafe Scholarship Fund,/opportunities/23348,$2000-$3000,03/15/2024
Tyler J. Stevenson Memorial Scholarship,/opportunities/21849,$500Falland$500Spring,03/15/2024
Undergraduate Mentorship Scholarship in Religious Studies,/opportunities/22959,$500,03/15/2024
Undergraduate Research Experiences Fund in Arts and Sciences,/opportunities/24613,Upto$500,03/15/2024
Val B. and Helen W. Fischer Memorial Fund,/opportunities/23762,Varies,03/15/2024
ValueSelling Scholarship Fund,/opportunities/22679,$1000-$2000,03/15/2024
Vaughn Family Child Care Scholarship,/opportunities/22468,varies,03/15/2024
Veterans Alumni Association Scholarship,/opportunities/23780,$1500.00,03/15/2024
Vi Sorrels Memorial Scholarship,/opportunities/23387,$2200.00,03/15/2024
Vincent J. and Lorraine F. Feik Scholarship in Arts and Sciences,/opportunities/22840,$2000,03/15/2024
Viola and Charles Haertling Scholarship Fund in Environmental Design,/opportunities/22825,$500.00,03/15/2024
Viola Vestal Coulter Foundation-W W Schley Scholarship,/opportunities/23296,$2500.00,03/15/2024
Virginia & Fred Anderson Scholarship in History,/opportunities/21955,$1000minimum,03/15/2024
Virginia L. Sakala Memorial Scholarship,/opportunities/23052,$1000.00,03/15/2024
Virginia T. Schuman Scholarship,/opportunities/22869,Varies,03/15/2024
W. & C. Tempest Scholarship,/opportunities/22633,$1000,03/15/2024
Wallace R. Vawter Scholarship,/opportunities/23099,Varies,03/15/2024
Webb Scholarship Fund,/opportunities/22623,$5000,03/15/2024
Wehman Scholarship,/opportunities/22597,$1500-$2500,03/15/2024
Welman Family Endowed Scholarship in Art and Art History,/opportunities/24874,Varies,03/15/2024
Wesley Yordon Prize / French Department Fund,/opportunities/22853,minimumof$150,03/15/2024
Willatt Family Scholarship,/opportunities/22949,$2280.00,03/15/2024
William J. Elliot Scholarship,/opportunities/22414,$1000,03/15/2024
William J. Stanton Memorial Scholarship,/opportunities/22998,$1000,03/15/2024
William M. Thorkildsen Scholarship,/opportunities/23392,$10000,03/15/2024
Wolff Family Foundation for Excellence Scholarship,/opportunities/23231,$7500,03/15/2024
Women in Business Case Competition Scholarship,/opportunities/23788,$1000,03/15/2024
Women Investing in the School of Education (WISE) Endowed Student Support Fund,/opportunities/23036,$2000.00,03/15/2024
Woodruff Memorial Scholarship in Arts and Sciences,/opportunities/22917,Variesdependingontieredratecoversin-statetuition/fees,03/15/2024
Woods Family Scholarship,/opportunities/22470,$1300,03/15/2024
Woodward Family Scholarship in Honor of Charles R. Middleton,/opportunities/22934,$1000-$2000,03/15/2024
Wormley Scholarship Fund,/opportunities/22718,$1000,03/15/2024
Wright Kingdom Real Estate Scholarship,/opportunities/22480,$2500,03/15/2024
Writing Abroad Scholarship in the Program for Writing and Rhetoric (PWR),/opportunities/22513,Varies(coversstudyabroadfeesinexcessofregulartuitionandfees),03/15/2024
Zack Martin Memorial Scholarship--CMCI,/opportunities/22911,$2400.00,03/15/2024
Zimmer Sports Announcing Scholarship-CMCI,/opportunities/23204,$2900.00,03/15/2024
Zola Family Endowed Scholarship for Social Studies Teachers,/opportunities/22983,$1000.00,03/15/2024
Zonta Foothills-Bev Hackbart Scholarship,/opportunities/22408,$1600.00,03/15/2024
Eaton Travel Sabbaticals Scholarship (Fall Semester),/opportunities/22033,Varies,03/31/2024
Eaton Travel Sabbaticals Scholarship (Summer Semester),/opportunities/21427,Varies,03/31/2024
Morris Judd Scholarship in Philosophy,/opportunities/23051,$2000,04/15/2024
Paduano Family Scholarship in Philosophy,/opportunities/22637,$1000,04/15/2024
CU Boulder First Generation Non-Resident Scholarship,/opportunities/21603,$8000,06/15/2024
CU Boulder First Generation Scholarship,/opportunities/22012,$4000,06/15/2024
James Downton Community Leadership Scholarship,/opportunities/18660,$3000.00,06/15/2024
New Student & Family Programs Scholarship for Transfer Students,/opportunities/24978,$3750.00,06/15/2024
Robert C. Rogers Scholarship in History,/opportunities/23131,$1000,06/15/2024
Transfer G2K Scholarship in Arts & Sciences,/opportunities/24152,$2000,06/15/2024
Eaton Travel Sabbaticals Scholarship (Spring Semester),/opportunities/23888,Varies,09/30/2024
CMCI General Fund- Enhanced,/opportunities/16436,$0.00,Expired
Alphonse Keasley Endowed Scholarship,/opportunities/16176,$0.00,Expired
Albert W. Smith Scholarship in Geography,/opportunities/17020,$1500,Expired
Business Minority Leadership Scholarship,/opportunities/23785,$1000,Expired
CU Book Store Textbook Scholarship,/opportunities/16943,$1000.00,Expired
CU in D.C. Scholarship Fund,/opportunities/18321,Varies,Expired
Daniel Mauser Memorial Scholarship,/opportunities/18785,$1000.00,Expired
Dr. James T. and Matilde S. Taguchi Scholarship,/opportunities/18781,Varies,Expired
Ediger Scholarship,/opportunities/18491,$1000.00,Expired
Garner Foundation Scholarship in Arts and Sciences,/opportunities/17175,$2000,Expired
Hank Brown CU in D.C. Scholarship,/opportunities/17350,Varies,Expired
Hossack Family Scholarship,/opportunities/17371,Varies,Expired
J. Gregory Davis and Lynn Hopton-Davis CU in D.C. Scholarship,/opportunities/18238,Varies,Expired
Jacob Van Ek Scholars Award in Arts and Sciences,/opportunities/17722,$100-$500,Expired
Kathleen B. Cooper CU in D.C. Scholarship,/opportunities/17932,Varies,Expired
Maskus Global Policy CU in D.C. Scholarship,/opportunities/17500,Varies,Expired
Michael Regis Savage CU in D.C. Scholarship,/opportunities/18802,Varies,Expired
Nanette Liden Memorial Scholarship Fund,/opportunities/17655,$2500.00,Expired
Phi Delta Theta Scholarship in Arts and Sciences,/opportunities/18371,$100-$1000,Expired
Rose Ann Bershenyi CU in D.C. Scholarship,/opportunities/18743,Varies,Expired
Diamond Stecher Family Endowed Scholarship in the Honors Program of Arts and Sciences,/opportunities/18552,$2000,Expired
Kolber Scholarship in Geology,/opportunities/21121,$1500,Expired
Young Alumni Endowed Scholarship,/opportunities/22942,Varies,Expired
Michael C Baier Memorial Scholarship Fund,/opportunities/23302,$1500,Expired
Spring 2024 - Samuel C DeFord Scholarship,/opportunities/24420,$7500.00,Expired
Second Point of Entry - Presidents Leadership Class (PLC),/opportunities/22404,1000,Expired
Presidents Leadership Class (PLC) Scholarship,/opportunities/22403,$1000.00,Expired
University Women's Club (UWC of Boulder) Scholarship,/opportunities/22464,$2000-$5000,Expired
