Name,Link,College,Description,Considered on General Application?,Award,Deadline
Braun Family Scholarship ,https://colorado.academicworks.com/opportunities/22079 ,None, The Braun Family Scholarship is for engineering students who have been in foster care or recently graduated from foster care. This award is specifically for sophomores juniors or seniors.The Braun Family Scholarship is for engineering students who have been in foster care or recently graduated from foster care. This award is specifically for sophomores juniors or seniors. ,True,$0.00 ,03/15/2024
Brennan Scholarship at Leeds ,https://colorado.academicworks.com/opportunities/21719 ,Leeds School of Business, The Brennan Scholarship is awarded to an incoming student in the Leeds School of Business.  It is intended to support students from underrepresented communities and backgrounds or those who have faced unusual adversity. In order to receive your scholarship funds you must remain a full-time student in the Leeds School of Business and maintain good academic standing. All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Please be sure to fill out the CU Boulder Scholarship Application between November 1st and the March deadline for campus-based opportunities. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements. If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-questionThe Brennan Scholarship is awarded to an incoming student in the Leeds School of Business.  It is intended to support students from underrepresented communities and backgrounds or those who have faced unusual adversity. In order to receive your scholarship funds you must remain a full-time student in the Leeds School of Business and maintain good academic standing.All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Please be sure to fill out the CU Boulder Scholarship Application between November 1st and the March deadline for campus-based opportunities. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements.If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-question ,True,$2000 ,03/15/2024
Brian Hostetler Memorial Scholarship ,https://colorado.academicworks.com/opportunities/21513 ,College of Media Communication and Information, The Brian Hostetler Memorial Scholarship is funded by family friends and colleagues of Brian Hostetler a photographer at 9News in Denver who died in a helicopter accident.  Juniors and seniors enrolled in the College of Media Communication and Information with an interest in broadcast journalism are eligible to apply. Consideration is given to the applicant’s service to the college and to other students in making the award. Recipient may also be eligible for an internship at 9News. Letters of appreciation should be written to Mrs. Kelly Wheeler.The Brian Hostetler Memorial Scholarship is funded by family friends and colleagues of Brian Hostetler a photographer at 9News in Denver who died in a helicopter accident.  Juniors and seniors enrolled in the College of Media Communication and Information with an interest in broadcast journalism are eligible to apply. Consideration is given to the applicant’s service to the college and to other students in making the award. Recipient may also be eligible for an internship at 9News. Letters of appreciation should be written to Mrs. Kelly Wheeler. ,True,$6400.00 ,03/15/2024
Bright Star Endowed Scholarship in Honor of Zachary Taylor in Arts and Sciences ,https://colorado.academicworks.com/opportunities/21872 ,College of Arts & Sciences, The Bright Star Endowed Scholarship is awarded to students who meet the following criteria:  Incoming first-year or current undergraduate enrolled full-time with a declared major in Physics or Astrophysics and Planetary Sciences in the College of Arts & Sciences. Demonstrated financial need as determined by the FASFA/CASFA. Complete the CU Boulder General Scholarship Application.  This scholarship is awarded to one student each academic year and is non-renewable.The Bright Star Endowed Scholarship is awarded to students who meet the following criteria: Incoming first-year or current undergraduate enrolled full-time with a declared major in Physics or Astrophysics and Planetary Sciences in the College of Arts & Sciences. Demonstrated financial need as determined by the FASFA/CASFA. Complete the CU Boulder General Scholarship Application. This scholarship is awarded to one student each academic year and is non-renewable. ,True,$1000-$2000 ,03/15/2024
Brownstein Family Scholarship Fund ,https://colorado.academicworks.com/opportunities/22244 ,None, The Brownstein Family Scholarship Fund was established to meet the financial need of undergraduate students pursuing an academic degree at CU Boulder who are the first generation in their families to attend college. For consideration applicants must:  Complete the CU Boulder General Scholarship Application by the deadline Be a first-generation college student (neither of your parents has received a 4-year college degree) Have a completed FAFSA/CASFA  Demonstrate financial need as determined by the FAFSA/CASFA   Scholarships are awarded for one academic year and may be renewable if requirements are met and funding is available.The Brownstein Family Scholarship Fund was established to meet the financial need of undergraduate students pursuing an academic degree at CU Boulder who are the first generation in their families to attend college.For consideration applicants must: Complete the CU Boulder General Scholarship Application by the deadline Be a first-generation college student (neither of your parents has received a 4-year college degree) Have a completed FAFSA/CASFA  Demonstrate financial need as determined by the FAFSA/CASFA  Scholarships are awarded for one academic year and may be renewable if requirements are met and funding is available. ,True,$0.00 ,03/15/2024
Bruce B. Vignery Endowed Scholarship in Arts and Sciences ,https://colorado.academicworks.com/opportunities/21692 ,College of Arts & Sciences, The Bruce B. Vignery Endowed Scholarship is awarded to students who meet the following criteria:  Incoming first-year transfer current undergraduate or graduate enrolled full-time with a declared major in the College of Arts & Sciences. Demonstrated financial need as determined by the FASFA/CASFA. Complete the CU Boulder General Scholarship Application. The Bruce B. Vignery Endowed Scholarship is awarded to students who meet the following criteria: Incoming first-year transfer current undergraduate or graduate enrolled full-time with a declared major in the College of Arts & Sciences. Demonstrated financial need as determined by the FASFA/CASFA. Complete the CU Boulder General Scholarship Application.  ,True,$1000-$3000 ,03/15/2024
Bruce F. Curtis Scholarship in Geological Sciences ,https://colorado.academicworks.com/opportunities/24101 ,College of Arts & Sciences, The Bruce F. Curtis Scholarship in Geological Sciences provides awards for outstanding Geological Sciences Master’s in Sciences students for their research activities. To be eligible for consideration applicants must:  Complete the CU Boulder General Scholarship Application. Submit this application by the posted deadline.  This application is for the 2024-2025 awarding cycle. Recipients from this applicant pool will be awarded in the 2024-2025 academic year.The Bruce F. Curtis Scholarship in Geological Sciences provides awards for outstanding Geological Sciences Master’s in Sciences students for their research activities.To be eligible for consideration applicants must: Complete the CU Boulder General Scholarship Application. Submit this application by the posted deadline. This application is for the 2024-2025 awarding cycle. Recipients from this applicant pool will be awarded in the 2024-2025 academic year. ,True,$0.00 ,03/15/2024
Buffalo Bicycle Classic (BBC) Scholarship in Arts and Sciences ,https://colorado.academicworks.com/opportunities/21280 ,College of Arts & Sciences, The Buffalo Bicycle Classic Scholarship is funded by proceeds raised from the Buffalo Bicycle Classic (BBC) – a bicycling fundraiser to benefit students with a declared major in the College of Arts & Sciences conceived by former Dean Todd Gleeson. The Buffalo Bicycle Classic Scholarship is awarded to students who meet the following criteria:  Incoming first-year students enrolled full-time with a declared major in the College of Arts & Sciences. Colorado residents. Demonstrated academic merit. Demonstrate financial need as determined by the FAFSA/CASFA. Complete the CU Boulder General Scholarship Application.  The scholarship is awarded for one academic year and is renewable for up to four years provided recipients enroll as full-time undergraduate students each fall and spring semesters; continue in their declared major within the College of Arts & Sciences; maintain a minimum 3.0 cumulative major GPA each academic year; and volunteer for the upcoming BBC bike ride in September.The Buffalo Bicycle Classic Scholarship is funded by proceeds raised from the Buffalo Bicycle Classic (BBC) – a bicycling fundraiser to benefit students with a declared major in the College of Arts & Sciences conceived by former Dean Todd Gleeson. The Buffalo Bicycle Classic Scholarship is awarded to students who meet the following criteria: Incoming first-year students enrolled full-time with a declared major in the College of Arts & Sciences. Colorado residents. Demonstrated academic merit. Demonstrate financial need as determined by the FAFSA/CASFA. Complete the CU Boulder General Scholarship Application. The scholarship is awarded for one academic year and is renewable for up to four years provided recipients enroll as full-time undergraduate students each fall and spring semesters; continue in their declared major within the College of Arts & Sciences; maintain a minimum 3.0 cumulative major GPA each academic year; and volunteer for the upcoming BBC bike ride in September. ,True,$4000 ,03/15/2024
Building Equity in Our Community of Academics (BECA) Fund ,https://colorado.academicworks.com/opportunities/22273 ,College of Arts & Sciences, The Building Equity in Our Community of Academics (BECA) Fund established by Angela Bryan and Kent Hutchison is a merit-based undergraduate scholarship for students who have completed or are completing their honor’s thesis in the department of Psychology and Neuroscience in the College of Arts & Sciences at CU Boulder. Eligible students are underrepresented students and/or first-generation college students. First generation students are those who are the first generation in their family to attend college and underrepresented students include those students from geographic areas and socioeconomic backgrounds who are historically underrepresented in the Department and/or students who have faced unusual adversity. Students who demonstrate a commitment to the Latino community and/or contribute to the study of Latino culture education or history are particularly encouraged to apply. If this is a factor please describe in the description of the project. Additional criteria include:  Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline.  This application requires students to update a one-page summary of the thesis project and a Curriculum Vitae. A letter of recommendation from your honors thesis advisor is recommended but not required.The Building Equity in Our Community of Academics (BECA) Fund established by Angela Bryan and Kent Hutchison is a merit-based undergraduate scholarship for students who have completed or are completing their honor’s thesis in the department of Psychology and Neuroscience in the College of Arts & Sciences at CU Boulder.Eligible students are underrepresented students and/or first-generation college students. First generation students are those who are the first generation in their family to attend college and underrepresented students include those students from geographic areas and socioeconomic backgrounds who are historically underrepresented in the Department and/or students who have faced unusual adversity.Students who demonstrate a commitment to the Latino community and/or contribute to the study of Latino culture education or history are particularly encouraged to apply. If this is a factor please describe in the description of the project.Additional criteria include: Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline. This application requires students to update a one-page summary of the thesis project and a Curriculum Vitae. A letter of recommendation from your honors thesis advisor is recommended but not required. ,False,$1000 ,03/15/2024
Burridge Center End the Gap Scholarship ,https://colorado.academicworks.com/opportunities/21926 ,Leeds School of Business, The Burridge Center for Finance End the Gap Scholarship is awarded to an incoming freshman in the Leeds School of Business who is pursuing a degree in Finance and participating in Leeds’ End the Gap Initiative programs. In order to receive your scholarship funds you must remain a full-time student in the Leeds School of Business and maintain good academic standing. All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Continue students: Please be sure to fill out the Leeds and CU Boulder Scholarship Application between November 1st and the March deadline. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements. If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-questionThe Burridge Center for Finance End the Gap Scholarship is awarded to an incoming freshman in the Leeds School of Business who is pursuing a degree in Finance and participating in Leeds’ End the Gap Initiative programs. In order to receive your scholarship funds you must remain a full-time student in the Leeds School of Business and maintain good academic standing.All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Continue students: Please be sure to fill out the Leeds and CU Boulder Scholarship Application between November 1st and the March deadline. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements.If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-question ,True,$1000-$2000 ,03/15/2024
Business + Engineering Women in Technology Scholarship ,https://colorado.academicworks.com/opportunities/21514 ,Leeds School of Business, The Business + Engineering Women in Technology (BE WiT) Scholarship is awarded to students who have applied and been admitted to the BE WiT program. In order to receive your scholarship funds you must remain a full-time student participating in the BE WiT Program. The BE WiT Scholars Program equips its scholars in business and engineering with the technical skills action-based learning professional development and the extensive network they need to become influential leaders in technology. The program’s vision is to increase women’s power and influence to become the nation’s leading tech-advancement incubator in business and engineering that produces the most talented entry-level applicant pool for top-tier technology companies. Learn more about the program at https://www.colorado.edu/business/undergraduate-programs/enhance-your-experience/women-business/be-tech-scholars-business-engineeringThe Business + Engineering Women in Technology (BE WiT) Scholarship is awarded to students who have applied and been admitted to the BE WiT program. In order to receive your scholarship funds you must remain a full-time student participating in the BE WiT Program.The BE WiT Scholars Program equips its scholars in business and engineering with the technical skills action-based learning professional development and the extensive network they need to become influential leaders in technology. The program’s vision is to increase women’s power and influence to become the nation’s leading tech-advancement incubator in business and engineering that produces the most talented entry-level applicant pool for top-tier technology companies. Learn more about the program at https://www.colorado.edu/business/undergraduate-programs/enhance-your-experience/women-business/be-tech-scholars-business-engineering ,True,$1000 ,03/15/2024
Business General Scholarship ,https://colorado.academicworks.com/opportunities/21505 ,Leeds School of Business, The Business General Scholarship is given to an outstanding student studying at the Leeds school of Business. In order to receive your scholarship funds you must remain a full-time student in the Leeds School of Business and maintain good academic standing. All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Continue students: Please be sure to fill out the Leeds and CU Boulder Scholarship Application between November 1st and the March deadline. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements. If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-questionThe Business General Scholarship is given to an outstanding student studying at the Leeds school of Business. In order to receive your scholarship funds you must remain a full-time student in the Leeds School of Business and maintain good academic standing.All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Continue students: Please be sure to fill out the Leeds and CU Boulder Scholarship Application between November 1st and the March deadline. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements.If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-question ,True,Varies ,03/15/2024
C. & A. Saunders Memorial Scholarship ,https://colorado.academicworks.com/opportunities/21845 ,Leeds School of Business, The Saunders Memorial Scholarship is given to a recipient with a high interest in entrepreneurship. In order to receive your scholarship funds you must remain a full-time student in the Leeds School of Business and maintain good academic standing. All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Continue students: Please be sure to fill out the Leeds and CU Boulder Scholarship Application between November 1st and the March deadline. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements. If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-questionThe Saunders Memorial Scholarship is given to a recipient with a high interest in entrepreneurship. In order to receive your scholarship funds you must remain a full-time student in the Leeds School of Business and maintain good academic standing.All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Continue students: Please be sure to fill out the Leeds and CU Boulder Scholarship Application between November 1st and the March deadline. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements.If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-question ,True,$2500 ,03/15/2024
C. Gordon Sweet Scholarship Colorado AIA Environmental Design ,https://colorado.academicworks.com/opportunities/23685 ,Program in Environmental Design, The C. Gordon Sweet Scholarship offered by the Architectural Education Foundation AIA Colorado is available to a third or fourth year student in the Program in Environmental Design (ENVD) who shows promise of contributing to the profession/building industry.  C. Gordon Sweet AIA was a prominent Colorado architect and two-time President of AIA Colorado.  His practice spanned twenty-five years from 1946 – 1970 in Colorado Springs Colorado.The C. Gordon Sweet Scholarship offered by the Architectural Education Foundation AIA Colorado is available to a third or fourth year student in the Program in Environmental Design (ENVD) who shows promise of contributing to the profession/building industry.  C. Gordon Sweet AIA was a prominent Colorado architect and two-time President of AIA Colorado.  His practice spanned twenty-five years from 1946 – 1970 in Colorado Springs Colorado. ,True,$2000.00 ,03/15/2024
Cactus Scholarship ,https://colorado.academicworks.com/opportunities/21966 ,College of Media Communication and Information, Undergraduate student Enrolled in the Department of Advertising Public Relations and Media Design who “demonstrate a commitment to diversity experience with diversity demonstrated commitment to diversity equity and inclusion. Preferred candidates will have a demonstrated interest in advancing the career interests of under-served populations in Advertising.” Thank you letters should be written to Norm Shearer and Jacqui Gonski.Undergraduate student Enrolled in the Department of Advertising Public Relations and Media Design who “demonstrate a commitment to diversity experience with diversity demonstrated commitment to diversity equity and inclusion. Preferred candidates will have a demonstrated interest in advancing the career interests of under-served populations in Advertising.” Thank you letters should be written to Norm Shearer and Jacqui Gonski. ,True,$0.00 ,03/15/2024
Calano Family Scholarship ,https://colorado.academicworks.com/opportunities/21837 ,Leeds School of Business, The Calano Family Scholarship is a one-year scholarship that is given to a continuing student majoring in Marketing.In order to receive your scholarship funds you must remain a full-time student in the Leeds School of Business and maintain good academic standing. All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Continue students: Please be sure to fill out the Leeds and CU Boulder Scholarship Application between November 1st and the March deadline. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements. If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-questionThe Calano Family Scholarship is a one-year scholarship that is given to a continuing student majoring in Marketing.In order to receive your scholarship funds you must remain a full-time student in the Leeds School of Business and maintain good academic standing.All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Continue students: Please be sure to fill out the Leeds and CU Boulder Scholarship Application between November 1st and the March deadline. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements.If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-question ,True,$5000 ,03/15/2024
Callies Family Scholarship ,https://colorado.academicworks.com/opportunities/24982 ,Leeds School of Business, The Callies Family Scholarship is awarded to students who are engaged with the End the Gap initiative programming.  Preference will be given to students who are the first generation in their family to attend college.  Additional preference to students pursuing a degree in finance or accounting.The Callies Family Scholarship is awarded to students who are engaged with the End the Gap initiative programming.  Preference will be given to students who are the first generation in their family to attend college.  Additional preference to students pursuing a degree in finance or accounting. ,True,$2500 ,03/15/2024
Cancer Impact Scholarship in Arts and Sciences ,https://colorado.academicworks.com/opportunities/22115 ,College of Arts & Sciences, The Cancer Impact Scholarship is awarded to students who have suffered adverse financial circumstances due to a caregiver who suffered from cancer and meet the following criteria:  Incoming first-year transfer or current undergraduate enrolled full-time with a declared major in the College of Arts & Sciences. Minimum high school GPA of 3.5 or CU GPA of 3.0. Submit the CU Boulder General Scholarship Application. Submit this scholarship application by the deadline.  Preference is given to students with demonstrated financial need as determined by the FASFA/CASFA.The Cancer Impact Scholarship is awarded to students who have suffered adverse financial circumstances due to a caregiver who suffered from cancer and meet the following criteria: Incoming first-year transfer or current undergraduate enrolled full-time with a declared major in the College of Arts & Sciences. Minimum high school GPA of 3.5 or CU GPA of 3.0. Submit the CU Boulder General Scholarship Application. Submit this scholarship application by the deadline. Preference is given to students with demonstrated financial need as determined by the FASFA/CASFA. ,False,$1000-$2000 ,03/15/2024
Caplan-Craig Scholarship in MCDB ,https://colorado.academicworks.com/opportunities/21654 ,College of Arts & Sciences, The Caplan-Craig Scholarship is awarded to students in the Department of Molecular Cellular and Developmental Biology (MCDB) who meet the following criteria:  Current undergraduate student with a major in MCDB. Cumulative GPA of 3.2 or higher. Demonstrated financial need as determined by the FASFA/CASFA. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline.  The scholarship award is based on academic merit and financial need. The scholarship may be renewed if a cumulative GPA of 3.2 or higher is maintained.The Caplan-Craig Scholarship is awarded to students in the Department of Molecular Cellular and Developmental Biology (MCDB) who meet the following criteria: Current undergraduate student with a major in MCDB. Cumulative GPA of 3.2 or higher. Demonstrated financial need as determined by the FASFA/CASFA. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline. The scholarship award is based on academic merit and financial need. The scholarship may be renewed if a cumulative GPA of 3.2 or higher is maintained. ,False,$1500-$2500 ,03/15/2024
Carl and Judy Capozzola Endowed Scholarship Fund ,https://colorado.academicworks.com/opportunities/23606 , School of Education, Carl A. Capozzola is a second-generation Italian American from Pueblo Colorado who attended the University and graduated with honors in 1963 before attending law school in California and establishing his law practice there. He was a member of the Lacrosse team and later married his wife Judy who also attended the University. He worked as a manager of the Sink Tavern during his years at the University and a caricature of him in his lacrosse uniform remains today on a wall in the Sink. This scholarship was established on the 100 year anniversary celebration of the Sink on September 2 2023. This Scholarship will be used to provide support for students majoring in Elementary Education or Middle and High School Teaching in the School of Education at the University of Colorado Boulder. In order to qualify for this scholarship students must enroll or have been enrolled in at least one year of Italian Studies at the University. First priority will go to students with demonstrated financial need. If a suitable student cannot be found the scholarship may be awarded to any student that meets the other criteria. This scholarship is to be awarded for one academic year only based on criteria established by the university and will be awarded to a different student every year.Carl A. Capozzola is a second-generation Italian American from Pueblo Colorado who attended the University and graduated with honors in 1963 before attending law school in California and establishing his law practice there. He was a member of the Lacrosse team and later married his wife Judy who also attended the University. He worked as a manager of the Sink Tavern during his years at the University and a caricature of him in his lacrosse uniform remains today on a wall in the Sink. This scholarship was established on the 100 year anniversary celebration of the Sink on September 2 2023.This Scholarship will be used to provide support for students majoring in Elementary Education or Middle and High School Teaching in the School of Education at the University of Colorado Boulder. In order to qualify for this scholarship students must enroll or have been enrolled in at least one year of Italian Studies at the University. First priority will go to students with demonstrated financial need. If a suitable student cannot be found the scholarship may be awarded to any student that meets the other criteria. This scholarship is to be awarded for one academic year only based on criteria established by the university and will be awarded to a different student every year. ,False,$5000 ,03/15/2024
Carol F. Holzer Scholarship Fund ,https://colorado.academicworks.com/opportunities/21450 ,School of Education, Carol Holzer was a Colorado native. She was born in Denver in 1931. Her father who served as Mayor of Aurora from 1931 to 1936 instilled a strong sense of pride in the community where they lived. Her mother stressed the importance of education and encouraged Carol to attend the University of Colorado. Ms. Holzer received her degree in Education in 1953 and was a first grade teacher in Aurora for 25 years until she retired in 1980. Carol established this scholarship in an effort to encourage students who wish to teach at the primary level.Carol Holzer was a Colorado native. She was born in Denver in 1931. Her father who served as Mayor of Aurora from 1931 to 1936 instilled a strong sense of pride in the community where they lived. Her mother stressed the importance of education and encouraged Carol to attend the University of Colorado. Ms. Holzer received her degree in Education in 1953 and was a first grade teacher in Aurora for 25 years until she retired in 1980. Carol established this scholarship in an effort to encourage students who wish to teach at the primary level. ,True,$2500.00 ,03/15/2024
Carol J Witter Scholarship ,https://colorado.academicworks.com/opportunities/21463 ,None, The Carol J Witter Scholarship is awarded based on academic merit and financial need to students without regard to major area of study.The Carol J Witter Scholarship is awarded based on academic merit and financial need to students without regard to major area of study. ,True,Varies ,03/15/2024
Carol J. Ehlers Scholarship in History ,https://colorado.academicworks.com/opportunities/22178 ,College of Arts & Sciences, The Carol J. Ehlers Scholarship is a multi-year scholarship awarded to incoming first-year students with a major in History who display a strong interest in European History. The award is merit based. Recipients will receive an annual award of at least $2500 for up to four years. Continuation of the scholarship is contingent upon remaining a History major and maintaining an overall GPA of 3.0 and History major GPA of 3.3. To be eligible for consideration applicants must:  Complete the CU Boulder General Scholarship Application  Complete this application by the posted deadline.  The Scholarship Committee particularly encourages underrepresented students in the History department to apply. Underrepresented students include those students from geographic areas and socioeconomic backgrounds who are historically underrepresented in the field of History and/or students who have faced unusual adversity.The Carol J. Ehlers Scholarship is a multi-year scholarship awarded to incoming first-year students with a major in History who display a strong interest in European History. The award is merit based. Recipients will receive an annual award of at least $2500 for up to four years. Continuation of the scholarship is contingent upon remaining a History major and maintaining an overall GPA of 3.0 and History major GPA of 3.3.To be eligible for consideration applicants must: Complete the CU Boulder General Scholarship Application  Complete this application by the posted deadline. The Scholarship Committee particularly encourages underrepresented students in the History department to apply. Underrepresented students include those students from geographic areas and socioeconomic backgrounds who are historically underrepresented in the field of History and/or students who have faced unusual adversity. ,False,atleast$2500andmayincludeuptoa$10000scholarship ,03/15/2024
Carol Robinson Reynolds and Charles L. Reynolds Endowed Scholarship ,https://colorado.academicworks.com/opportunities/22120 ,School of Education, Carol and Charles Reynolds formed this scholarship in 2007. Carol is a CU alumna earning her BA in Math in 1958 her MA in Guidance and Counseling in 1968 and her Doctorate in Education in School Administration in 1978. She served as a teacher counselor junior and senior high school principal and held various central administrative positions in her 29-year career with the Denver Public Schools. Charles Reynolds retired from the United States Air Force in 1970. He earned a BS at Metropolitan State College of Denver in 1980 and an MBA at Regis University in Denver in 1987. Eligible students must be current graduate students in the School of Education.Carol and Charles Reynolds formed this scholarship in 2007. Carol is a CU alumna earning her BA in Math in 1958 her MA in Guidance and Counseling in 1968 and her Doctorate in Education in School Administration in 1978. She served as a teacher counselor junior and senior high school principal and held various central administrative positions in her 29-year career with the Denver Public Schools. Charles Reynolds retired from the United States Air Force in 1970. He earned a BS at Metropolitan State College of Denver in 1980 and an MBA at Regis University in Denver in 1987. Eligible students must be current graduate students in the School of Education. ,True,$2250.00 ,03/15/2024
Carolyn L. and James R. Topping Endowed Scholarship ,https://colorado.academicworks.com/opportunities/21550 ,School of Education, CU Boulder alumna Carolyn Topping and husband James Topping established this scholarship in 2015. Carolyn served nearly 25 years in education as a teacher a principal and an active volunteer. This scholarship provides support to currently enrolled undergraduates in the Elementary Education teacher licensure program at the School of Education. Qualified candidates must have graduated from a Colorado high school and are encouraged to reapply for the scholarship each year as awardees are eligible for renewal if they remain in good academic standing. Preference will be given to first-generation college students.CU Boulder alumna Carolyn Topping and husband James Topping established this scholarship in 2015. Carolyn served nearly 25 years in education as a teacher a principal and an active volunteer. This scholarship provides support to currently enrolled undergraduates in the Elementary Education teacher licensure program at the School of Education. Qualified candidates must have graduated from a Colorado high school and are encouraged to reapply for the scholarship each year as awardees are eligible for renewal if they remain in good academic standing. Preference will be given to first-generation college students. ,True,$1500 ,03/15/2024
Carson Family Endowed Scholarship ,https://colorado.academicworks.com/opportunities/22117 ,03/15/2024, The Carson Family Endowed Scholarship provides undergraduate scholarship awards for students enrolled at the University of Colorado Boulder. Scholarship recipients will be those who graduate from a high school in the San Luis Valley in Colorado which generally encompasses the counties of: Alamosa Conejos Costilla Mineral Rio Grande and Saguache along with a demonstrated knowledge of and/or commitment to issues facing women in today’s society. For consideration students must:  Complete the CU Boulder General Scholarship Application by the deadline Have a completed FAFSA/CASFA  Demonstrate financial need as determined by the FAFSA/CASFA  Complete the supplemental questions for this scholarship opportunity  The scholarship is a renewable award which you can receive for up to a maximum of 4 years (8 semesters) total provided you:  Enroll in and earn a minimum of 12 credit hours each semester Maintain a minimum 2.00 cumulative GPA  Meet Satisfactory Academic Progress. Continue to demonstrate financial need after submitting the Free Application for Federal Student Aid (FAFSA) each year by February 15.  The Carson Family Endowed Scholarship provides undergraduate scholarship awards for students enrolled at the University of Colorado Boulder. Scholarship recipients will be those who graduate from a high school in the San Luis Valley in Colorado which generally encompasses the counties of: Alamosa Conejos Costilla Mineral Rio Grande and Saguache along with a demonstrated knowledge of and/or commitment to issues facing women in today’s society.For consideration students must: Complete the CU Boulder General Scholarship Application by the deadline Have a completed FAFSA/CASFA  Demonstrate financial need as determined by the FAFSA/CASFA  Complete the supplemental questions for this scholarship opportunity The scholarship is a renewable award which you can receive for up to a maximum of 4 years (8 semesters) total provided you: Enroll in and earn a minimum of 12 credit hours each semester Maintain a minimum 2.00 cumulative GPA  Meet Satisfactory Academic Progress. Continue to demonstrate financial need after submitting the Free Application for Federal Student Aid (FAFSA) each year by February 15.   ,False,$2000 ,03/15/2024
